id,name,team,team_abbr,team_group,position,price,status,pct_selected,total_points,avg_points,form,last_round_pts,one_to_watch,is_active,first_seen_at,updated_at
1306,Eldor Shomurodov,Uzbekistan,UZB,k,FWD,6.5,playing,0.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1327,Emiliano Buendía,Argentina,ARG,j,MID,6.5,playing,0.2,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1427,Adam Hlozek,Czechia,CZE,a,FWD,6.5,playing,0.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1432,Jean-Philippe Mateta,France,FRA,i,FWD,6.5,playing,0.3,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1493,Chris Wood,New Zealand,NZL,g,FWD,6.5,playing,0.9,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1604,Maximilian Beier,Germany,GER,e,FWD,6.5,playing,0.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1683,Fredrik Aursnes,Norway,NOR,i,MID,6.5,playing,0.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1999,Gavi,Spain,ESP,h,MID,6.5,playing,0.8,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
2042,Justin Kluivert,Netherlands,NED,f,MID,6.5,playing,0.1,0.0,0.0,0.0,0.0,0,1,2026-05-29T16:49:14.638365+00:00,2026-05-31T03:31:14.988646+00:00
347,Mario Pasalic,Croatia,CRO,l,MID,6.4,playing,0.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
510,Adrien Rabiot,France,FRA,i,MID,6.4,playing,0.2,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
514,Maghnes Akliouche,France,FRA,i,MID,6.4,playing,0.0,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
763,Álvaro Fidalgo,Mexico,MEX,a,MID,6.4,playing,0.2,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
925,Pedro Neto,Portugal,POR,k,MID,6.4,playing,0.5,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
936,Vitinha,Portugal,POR,k,MID,6.4,playing,9.9,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1223,Maxi Araújo,Uruguay,URU,h,MID,6.4,playing,0.2,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1603,Jamie Leweling,Germany,GER,e,MID,6.4,playing,0.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1990,Abdul Fatawu,Ghana,GHA,l,FWD,6.4,playing,0.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
2020,Brahim Díaz,Morocco,MAR,c,MID,6.4,playing,1.6,0.0,0.0,0.0,0.0,0,1,2026-05-27T18:49:27.873457+00:00,2026-05-31T03:31:14.988646+00:00
188,Casemiro,Brazil,BRA,c,MID,6.3,playing,1.7,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
269,Jhon Arias,Colombia,COL,k,MID,6.3,playing,0.2,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1396,Cucho Hernández,Colombia,COL,k,FWD,6.3,playing,0.3,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1473,César Huerta,Mexico,MEX,a,MID,6.3,playing,0.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1477,Luis Chávez,Mexico,MEX,a,MID,6.3,playing,0.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1599,Nadiem Amiri,Germany,GER,e,MID,6.3,playing,0.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
1671,Sofiane Boufal,Morocco,MAR,c,MID,6.3,transferred,0.0,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
9,Mohammed Amoura,Algeria,ALG,j,FWD,6.2,playing,0.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
10,Amine Gouiri,Algeria,ALG,j,FWD,6.2,playing,0.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
27,Farès Chaïbi,Algeria,ALG,j,MID,6.2,playing,0.0,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
53,Valentín Barco,Argentina,ARG,j,MID,6.2,playing,0.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
146,Ermedin Demirovic,Bosnia and Herzegovina,BIH,b,FWD,6.2,playing,0.1,0.0,0.0,0.0,0.0,0,1,2026-05-27T10:27:41.928730+00:00,2026-05-31T03:31:14.988646+00:00
